 ,X,Y
1,5502.0,6654.9
2,6592.5,5957.4
3,6168.6,6328.2
4,6225.0,6443.4
5,6357.9,6548.1
6,6393.0,6484.8
7,6657.0,6264.3
8,6533.1,6283.2
9,6531.6,6321.3
10,6466.2,6327.6
11,6405.0,5580.6
12,6369.9,5705.1
13,5981.4,4679.4
14,5560.8,4011.6
15,5568.9,3936.9
16,5772.3,3408.6
17,5571.6,3216.6
18,5841.3,2836.5
19,4131.6,4311.0
20,4059.9,3996.9
21,4074.3,4063.2
22,4100.4,4198.5
23,4184.4,4031.7
24,3880.2,4939.8
25,3666.3,4426.8
26,1311.0,3213.0
27,1307.7,3003.6
28,1554.9,2226.3
29,1262.7,2190.0
30,4305.6,6334.2
31,4939.2,6800.4
32,4792.2,6697.8
33,4847.4,6655.8
34,4777.2,6755.7
35,4729.2,6792.9
36,4758.0,7316.4
37,4769.4,7778.7
38,4694.4,8006.4
39,4621.5,8144.4
40,4278.3,7680.0
41,4701.6,8335.5
42,4742.4,8334.0
43,4706.7,8380.8
44,4584.9,8590.5
45,4666.2,8275.8
46,1996.8,6296.7
47,3952.5,5902.5
48,3538.5,4816.2
49,2980.8,3532.5
50,3054.3,3751.5
51,2921.1,4000.5
52,2024.1,513.6
53,1639.5,465.3
54,4793.7,6004.2
55,5077.2,5953.8
56,4852.8,6093.6
57,4658.1,6077.7
58,4494.3,5997.3
59,5362.8,6474.0
60,6336.7998,3853.6998
61,6471.3,4644.6
62,6451.5,5160.5004
63,5321.4,6976.6002
64,3827.1,9308.7
65,3504.6,9297.0
66,3151.3998,7233.7002
67,2586.0,9377.4
68,1567.8,8133.9
69,1363.9998,8229.3
70,319.5,8421.7998
71,289.0002,8422.2
72,295.8,8370.0
73,276.3,8352.3
74,502.5,5572.2
75,1100.2002,3648.1002
76,2366.7,404.2998
77,4761.9,1587.6
